K0_number	Gene_identification	Label
K04534	GNAO, G-ALPHA-O; guanine nucleotide-binding protein G(o) subunit alpha	GNAO, G-ALPHA-O; guanine nucleotide-binding protein G(o) subunit alpha
K04962	RYR2; ryanodine receptor 2	RYR2; ryanodine receptor 2
K01770	ispF; 2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase [EC:4.6.1.12]	ispF; 2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase [EC:4.6.1.12]
K02002	proX; glycine betaine/proline transport system substrate-binding protein	proX; glycine betaine/proline transport system substrate-binding protein
K13170	SFRS18; splicing factor, arginine/serine-rich 18	SFRS18; splicing factor, arginine/serine-rich 18
K10084	EDEM1; ER degradation enhancer, mannosidase alpha-like 1	EDEM1; ER degradation enhancer, mannosidase alpha-like 1
K12827	SF3A3, SAP61, PRP9; splicing factor 3A subunit 3	SF3A3, SAP61, PRP9; splicing factor 3A subunit 3
K11274	WDHD1, CTF4; chromosome transmission fidelity protein 4	WDHD1, CTF4; chromosome transmission fidelity protein 4
K02151	ATPeV1F, ATP6S14; V-type H+-transporting ATPase subunit F	V-type ATPase
K11789	VPRBP, DCAF1; HIV-1 Vpr-binding protein	VPRBP, DCAF1; HIV-1 Vpr-binding protein
K05309	PTGES2; microsomal prostaglandin-E synthase 2 [EC:5.3.99.3]	PTGES2; microsomal prostaglandin-E synthase 2 [EC:5.3.99.3]
K02691	psaC; photosystem I subunit VII	Photosynthesis
K19719	COL2A; collagen, type II, alpha	COL2A; collagen, type II, alpha
K08300	rne; ribonuclease E [EC:3.1.26.12]	rne; ribonuclease E [EC:3.1.26.12]
K13047	TLL2; tolloid-like protein 2 [EC:3.4.24.-]	TLL2; tolloid-like protein 2 [EC:3.4.24.-]
K12839	SMNDC1, SPF30; survival of motor neuron-related-splicing factor 30	SMNDC1, SPF30; survival of motor neuron-related-splicing factor 30
K12819	SLU7; pre-mRNA-processing factor SLU7	SLU7; pre-mRNA-processing factor SLU7
K12491	AGAP1_3; Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 1/3	AGAP1_3; Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 1/3
K16857	THBS1; thrombospondin 1	THBS1; thrombospondin 1
K03142	TFIIH2, GTF2H2, SSL1; transcription initiation factor TFIIH subunit 2	TFIIH2, GTF2H2, SSL1; transcription initiation factor TFIIH subunit 2
K02335	DPO1, polA; DNA polymerase I [EC:2.7.7.7]	DPO1, polA; DNA polymerase I [EC:2.7.7.7]
K01139	spoT; GTP diphosphokinase / guanosine-3',5'-bis(diphosphate) 3'-diphosphatase [EC:2.7.6.5 3.1.7.2]	spoT; GTP diphosphokinase / guanosine-3',5'-bis(diphosphate) 3'-diphosphatase [EC:2.7.6.5 3.1.7.2]
K08811	TSSK, STK22; testis-specific serine kinase [EC:2.7.11.1]	TSSK, STK22; testis-specific serine kinase [EC:2.7.11.1]
K07202	PPARGC1A, PGC1A; alpha peroxisome proliferator-activated receptor gamma coactivator 1-alpha	PPARGC1A, PGC1A; alpha peroxisome proliferator-activated receptor gamma coactivator 1-alpha
K08791	LATS1_2, Wts; serine/threonine-protein kinase LATS1/2 [EC:2.7.11.1]	LATS1_2, Wts; serine/threonine-protein kinase LATS1/2 [EC:2.7.11.1]
K00525	E1.17.4.1A, nrdA, nrdE; ribonucleoside-diphosphate reductase alpha chain [EC:1.17.4.1]	E1.17.4.1A, nrdA, nrdE; ribonucleoside-diphosphate reductase alpha chain [EC:1.17.4.1]
K08825	DYRK1; dual specificity tyrosine-phosphorylation-regulated kinase 1 [EC:2.7.12.1]	DYRK1; dual specificity tyrosine-phosphorylation-regulated kinase 1 [EC:2.7.12.1]
K17778	TIM10; mitochondrial import inner membrane translocase subunit TIM10	TIM10; mitochondrial import inner membrane translocase subunit TIM10
K15420	EML4; echinoderm microtubule-associated protein-like 4	EML4; echinoderm microtubule-associated protein-like 4
K00496	alkB1_2; alkane 1-monooxygenase [EC:1.14.15.3]	alkB1_2; alkane 1-monooxygenase [EC:1.14.15.3]
K13697	ABHD2; abhydrolase domain-containing protein 2	ABHD2; abhydrolase domain-containing protein 2
K08773	RALBP1; RalA-binding protein 1	RALBP1; RalA-binding protein 1
K04688	RPS6KB; ribosomal protein S6 kinase beta [EC:2.7.11.1]	RPS6KB; ribosomal protein S6 kinase beta [EC:2.7.11.1]
K19526	VPS13B; vacuolar protein sorting-associated protein 13B	VPS13B; vacuolar protein sorting-associated protein 13B
K00604	MTFMT, fmt; methionyl-tRNA formyltransferase [EC:2.1.2.9]	MTFMT, fmt; methionyl-tRNA formyltransferase [EC:2.1.2.9]
K19787	CARNMT1; carnosine N-methyltransferase [EC:2.1.1.22]	CARNMT1; carnosine N-methyltransferase [EC:2.1.1.22]
K00860	cysC; adenylylsulfate kinase [EC:2.7.1.25]	cysC; adenylylsulfate kinase [EC:2.7.1.25]
K12385	NPC1; Niemann-Pick C1 protein	NPC1; Niemann-Pick C1 protein
K03240	EIF2B5; translation initiation factor eIF-2B subunit epsilon	EIF2B5; translation initiation factor eIF-2B subunit epsilon
K08706	NR0AN, kni; nuclear receptor subfamily 0 group A	NR0AN, kni; nuclear receptor subfamily 0 group A
K14299	SEH1; nucleoporin SEH1	SEH1; nucleoporin SEH1
K08827	PRPF4B; serine/threonine-protein kinase PRP4 [EC:2.7.11.1]	PRPF4B; serine/threonine-protein kinase PRP4 [EC:2.7.11.1]
K00486	KMO; kynurenine 3-monooxygenase [EC:1.14.13.9]	KMO; kynurenine 3-monooxygenase [EC:1.14.13.9]
K00685	ATE1, ate1; arginine-tRNA-protein transferase [EC:2.3.2.8]	ATE1, ate1; arginine-tRNA-protein transferase [EC:2.3.2.8]
K08764	SCP2, SCPX; sterol carrier protein 2 [EC:2.3.1.176]	SCP2, SCPX; sterol carrier protein 2 [EC:2.3.1.176]
K16538	PIBF1, CEP90; progesterone-induced-blocking factor 1	PIBF1, CEP90; progesterone-induced-blocking factor 1
K00555	TRMT1, trm1; tRNA (guanine26-N2/guanine27-N2)-dimethyltransferase [EC:2.1.1.215 2.1.1.216]	TRMT1, trm1; tRNA (guanine26-N2/guanine27-N2)-dimethyltransferase [EC:2.1.1.215 2.1.1.216]
K17600	VPS54; vacuolar protein sorting-associated protein 54	VPS54; vacuolar protein sorting-associated protein 54
K08493	VTI1; vesicle transport through interaction with t-SNAREs 1	VTI1; vesicle transport through interaction with t-SNAREs 1
K07966	B4GALT1; beta-1,4-galactosyltransferase 1 [EC:2.4.1.22 2.4.1.90 2.4.1.38 2.4.1.-]	B4GALT1; beta-1,4-galactosyltransferase 1 [EC:2.4.1.22 2.4.1.90 2.4.1.38 2.4.1.-]
K00861	RFK, FMN1; riboflavin kinase [EC:2.7.1.26]	RFK, FMN1; riboflavin kinase [EC:2.7.1.26]
K11884	PNO1, DIM2; RNA-binding protein PNO1	PNO1, DIM2; RNA-binding protein PNO1
K11885	DDI1; DNA damage-inducible protein 1	DDI1; DNA damage-inducible protein 1
K16744	B9D1; B9 domain-containing protein 1	B9D1; B9 domain-containing protein 1
K11352	NDUFA12; NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 12	NDUFA12; NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 12
K09537	DNAJC17; DnaJ homolog subfamily C member 17	DNAJC17; DnaJ homolog subfamily C member 17
K08098	PIGZ, SMP3; phosphatidylinositol glycan, class Z [EC:2.4.1.-]	PIGZ, SMP3; phosphatidylinositol glycan, class Z [EC:2.4.1.-]
K13679	WAXY; granule-bound starch synthase [EC:2.4.1.242]	WAXY; granule-bound starch synthase [EC:2.4.1.242]
K17885	MTCH; mitochondrial carrier	MTCH; mitochondrial carrier
K12470	SH3KBP1, CIN85; SH3 domain-containing kinase-binding protein 1	SH3KBP1, CIN85; SH3 domain-containing kinase-binding protein 1
K03545	tig; trigger factor	tig; trigger factor
K12311	MAN2B1, LAMAN; lysosomal alpha-mannosidase [EC:3.2.1.24]	MAN2B1, LAMAN; lysosomal alpha-mannosidase [EC:3.2.1.24]
K08852	ERN1; serine/threonine-protein kinase/endoribonuclease IRE1 [EC:2.7.11.1 3.1.26.-]	ERN1; serine/threonine-protein kinase/endoribonuclease IRE1 [EC:2.7.11.1 3.1.26.-]
K03143	TFIIH3, GTF2H3, TFB4; transcription initiation factor TFIIH subunit 3	TFIIH3, GTF2H3, TFB4; transcription initiation factor TFIIH subunit 3
K00471	E1.14.11.1; gamma-butyrobetaine dioxygenase [EC:1.14.11.1]	E1.14.11.1; gamma-butyrobetaine dioxygenase [EC:1.14.11.1]
K13949	PTGR2, ZADH1; prostaglandin reductase 2 [EC:1.3.1.48]	PTGR2, ZADH1; prostaglandin reductase 2 [EC:1.3.1.48]
K03063	PSMC4, RPT3; 26S proteasome regulatory subunit T3	PSMC4, RPT3; 26S proteasome regulatory subunit T3
K18465	MRT43, SWIP; WASH complex subunit 7	MRT43, SWIP; WASH complex subunit 7
K19028	PFKFB1; 6-phosphofructo-2-kinase / fructose-2,6-biphosphatase 1 [EC:2.7.1.105 3.1.3.46]	PFKFB1; 6-phosphofructo-2-kinase / fructose-2,6-biphosphatase 1 [EC:2.7.1.105 3.1.3.46]
K06962	K06962; uncharacterized protein	K06962; uncharacterized protein
K13120	FAM32A; protein FAM32A	FAM32A; protein FAM32A
K02180	BUB3; cell cycle arrest protein BUB3	BUB3; cell cycle arrest protein BUB3
K05288	PIGO; phosphatidylinositol glycan, class O	PIGO; phosphatidylinositol glycan, class O
K15450	TYW3; tRNA wybutosine-synthesizing protein 3 [EC:2.1.1.282]	TYW3; tRNA wybutosine-synthesizing protein 3 [EC:2.1.1.282]
K02738	PSMB6; 20S proteasome subunit beta 1 [EC:3.4.25.1]	PSMB6; 20S proteasome subunit beta 1 [EC:3.4.25.1]
K12572	PAN3; PAB-dependent poly(A)-specific ribonuclease subunit 3	PAN3; PAB-dependent poly(A)-specific ribonuclease subunit 3
K17388	ROCK2; Rho-associated protein kinase 2 [EC:2.7.11.1]	ROCK2; Rho-associated protein kinase 2 [EC:2.7.11.1]
K14765	NGDN, LCP5; U3 small nucleolar ribonucleoprotein protein LCP5	NGDN, LCP5; U3 small nucleolar ribonucleoprotein protein LCP5
K01283	ACE, CD143; peptidyl-dipeptidase A [EC:3.4.15.1]	ACE, CD143; peptidyl-dipeptidase A [EC:3.4.15.1]
K06215	pdxS, pdx1; pyridoxal 5'-phosphate synthase pdxS subunit [EC:4.3.3.6]	pdxS, pdx1; pyridoxal 5'-phosphate synthase pdxS subunit [EC:4.3.3.6]
K02980	RP-S29e, RPS29; small subunit ribosomal protein S29e	RP-S29e, RPS29; small subunit ribosomal protein S29e
K13190	RBM15; RNA-binding protein 15	RBM15; RNA-binding protein 15
K01115	PLD1_2; phospholipase D1/2 [EC:3.1.4.4]	PLD1_2; phospholipase D1/2 [EC:3.1.4.4]
K02111	ATPF1A, atpA; F-type H+-transporting ATPase subunit alpha [EC:3.6.3.14]	ATPF1A, atpA; F-type H+-transporting ATPase subunit alpha [EC:3.6.3.14]
K14638	SLC15A3_4, PHT; solute carrier family 15 (peptide/histidine transporter), member 3/4	SLC15A3_4, PHT; solute carrier family 15 (peptide/histidine transporter), member 3/4
K14960	CXXC1, SPP1, CPS40; COMPASS component SPP1	CXXC1, SPP1, CPS40; COMPASS component SPP1
K08828	ICK; intestinal cell (MAK-like) kinase [EC:2.7.11.22]	ICK; intestinal cell (MAK-like) kinase [EC:2.7.11.22]
K14798	LTV1; protein LTV1	LTV1; protein LTV1
K04946	KCNT1; potassium channel subfamily T member 1	KCNT1; potassium channel subfamily T member 1
K13355	NUDT19; nucleoside diphosphate-linked moiety X motif 19, mitochondrial [EC:3.6.1.-]	NUDT19; nucleoside diphosphate-linked moiety X motif 19, mitochondrial [EC:3.6.1.-]
K14157	AASS; alpha-aminoadipic semialdehyde synthase [EC:1.5.1.8 1.5.1.9]	AASS; alpha-aminoadipic semialdehyde synthase [EC:1.5.1.8 1.5.1.9]
K03783	punA, PNP; purine-nucleoside phosphorylase [EC:2.4.2.1]	punA, PNP; purine-nucleoside phosphorylase [EC:2.4.2.1]
K02155	ATPeV0C, ATP6L; V-type H+-transporting ATPase 16kDa proteolipid subunit	V-type ATPase
K12386	CTNS; cystinosin	CTNS; cystinosin
K09256	NFKBIL1; NF-kappa-B inhibitor-like protein 1	NFKBIL1; NF-kappa-B inhibitor-like protein 1
K10370	TMOD; tropomodulin	TMOD; tropomodulin
K07752	CPD; carboxypeptidase D [EC:3.4.17.22]	CPD; carboxypeptidase D [EC:3.4.17.22]
K15977	K15977; putative oxidoreductase	K15977; putative oxidoreductase
K11703	GLT25D; collagen beta-1,O-galactosyltransferase [EC:2.4.1.50]	GLT25D; collagen beta-1,O-galactosyltransferase [EC:2.4.1.50]
K10250	ELOVL7; elongation of very long chain fatty acids protein 7 [EC:2.3.1.199]	Fatty acid biosynthesis
K03353	APC6, CDC16; anaphase-promoting complex subunit 6	APC6, CDC16; anaphase-promoting complex subunit 6
K19055	prdX, proX; Ala-tRNA(Pro) deacylase [EC:3.1.1.-]	prdX, proX; Ala-tRNA(Pro) deacylase [EC:3.1.1.-]
K11651	SMARCE1; SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E, member 1	SMARCE1; SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E, member 1
K12181	COPS8, CSN8; COP9 signalosome complex subunit 8	COPS8, CSN8; COP9 signalosome complex subunit 8
K10761	THG1; tRNA(His) guanylyltransferase [EC:2.7.7.79]	THG1; tRNA(His) guanylyltransferase [EC:2.7.7.79]
K15414	C1QBP; complement component 1 Q subcomponent-binding protein, mitochondrial	C1QBP; complement component 1 Q subcomponent-binding protein, mitochondrial
K03258	EIF4B; translation initiation factor 4B	EIF4B; translation initiation factor 4B
K15505	RAD5; DNA repair protein RAD5 [EC:3.6.4.-]	RAD5; DNA repair protein RAD5 [EC:3.6.4.-]
K06087	CLDN; claudin	CLDN; claudin
K14288	XPOT; exportin-T	XPOT; exportin-T
K06110	EXOC3, SEC6; exocyst complex component 3	EXOC3, SEC6; exocyst complex component 3
K13195	CIRBP; cold-inducible RNA-binding protein	CIRBP; cold-inducible RNA-binding protein
K05954	FNTB; protein farnesyltransferase subunit beta [EC:2.5.1.58]	FNTB; protein farnesyltransferase subunit beta [EC:2.5.1.58]
K00766	trpD; anthranilate phosphoribosyltransferase [EC:2.4.2.18]	trpD; anthranilate phosphoribosyltransferase [EC:2.4.2.18]
K11849	USP25; ubiquitin carboxyl-terminal hydrolase 25 [EC:3.4.19.12]	USP25; ubiquitin carboxyl-terminal hydrolase 25 [EC:3.4.19.12]
K12462	ARHGDI, RHOGDI; Rho GDP-dissociation inhibitor	ARHGDI, RHOGDI; Rho GDP-dissociation inhibitor
K03046	rpoC; DNA-directed RNA polymerase subunit beta' [EC:2.7.7.6]	rpoC; DNA-directed RNA polymerase subunit beta' [EC:2.7.7.6]
K09519	DNAJB13; DnaJ homolog subfamily B member 13	DNAJB13; DnaJ homolog subfamily B member 13
K02713	psbL; photosystem II PsbL protein	psbL; photosystem II PsbL protein
K07101	K07101; uncharacterized protein	K07101; uncharacterized protein
K06493	ITGB3, CD61; integrin beta 3	ITGB3, CD61; integrin beta 3
K10735	GINS4, SLD5; GINS complex subunit 4	GINS4, SLD5; GINS complex subunit 4
K10400	KIF15; kinesin family member 15	KIF15; kinesin family member 15
K00818	E2.6.1.11, argD; acetylornithine aminotransferase [EC:2.6.1.11]	E2.6.1.11, argD; acetylornithine aminotransferase [EC:2.6.1.11]
K17700	RAP1GAP, RAPGAP; RAP1 GTPase activating protein 1	RAP1GAP, RAPGAP; RAP1 GTPase activating protein 1
K10649	TRIM9_67; tripartite motif-containing protein 9/67	TRIM9_67; tripartite motif-containing protein 9/67
K10609	CUL4; cullin 4	CUL4; cullin 4
K09577	FKBP14; FK506-binding protein 14 [EC:5.2.1.8]	FKBP14; FK506-binding protein 14 [EC:5.2.1.8]
K05463	EFNB; ephrin-B	EFNB; ephrin-B
K01811	xylS, yicI; alpha-D-xyloside xylohydrolase [EC:3.2.1.177]	xylS, yicI; alpha-D-xyloside xylohydrolase [EC:3.2.1.177]
K14510	CTR1; serine/threonine-protein kinase CTR1 [EC:2.7.11.1]	CTR1; serine/threonine-protein kinase CTR1 [EC:2.7.11.1]
K09539	DNAJC19; DnaJ homolog subfamily C member 19	DNAJC19; DnaJ homolog subfamily C member 19
K06233	LRP2; low density lipoprotein-related protein 2	LRP2; low density lipoprotein-related protein 2
K17795	TIM17; mitochondrial import inner membrane translocase subunit TIM17	TIM17; mitochondrial import inner membrane translocase subunit TIM17
K06627	CCNA; cyclin A	CCNA; cyclin A
K15047	HNRNPUL1, E1BAP5; heterogeneous nuclear ribonucleoprotein U-like protein 1	HNRNPUL1, E1BAP5; heterogeneous nuclear ribonucleoprotein U-like protein 1
K11652	ACTL6B; actin-like protein 6B	ACTL6B; actin-like protein 6B
K00255	ACADL; long-chain-acyl-CoA dehydrogenase [EC:1.3.8.8]	Fatty acid breakdown
K01752	E4.3.1.17, sdaA, sdaB, tdcG; L-serine dehydratase [EC:4.3.1.17]	E4.3.1.17, sdaA, sdaB, tdcG; L-serine dehydratase [EC:4.3.1.17]
K13751	SLC24A3, NCKX3; solute carrier family 24 (sodium/potassium/calcium exchanger), member 3	SLC24A3, NCKX3; solute carrier family 24 (sodium/potassium/calcium exchanger), member 3
K02067	mlaD, linM; phospholipid/cholesterol/gamma-HCH transport system substrate-binding protein	mlaD, linM; phospholipid/cholesterol/gamma-HCH transport system substrate-binding protein
K13237	DECR2; peroxisomal 2,4-dienoyl-CoA reductase [EC:1.3.1.34]	DECR2; peroxisomal 2,4-dienoyl-CoA reductase [EC:1.3.1.34]
K11429	SUV420H; histone-lysine N-methyltransferase SUV420H [EC:2.1.1.43]	SUV420H; histone-lysine N-methyltransferase SUV420H [EC:2.1.1.43]
K18261	DYSF; dysferlin	DYSF; dysferlin
K12193	VPS24, CHMP3; charged multivesicular body protein 3	VPS24, CHMP3; charged multivesicular body protein 3
K09233	GLIS2; zinc finger protein GLIS2	GLIS2; zinc finger protein GLIS2
K02717	psbP; photosystem II oxygen-evolving enhancer protein 2	psbP; photosystem II oxygen-evolving enhancer protein 2
K12183	TSG101, STP22, VPS23; ESCRT-I complex subunit TSG101	TSG101, STP22, VPS23; ESCRT-I complex subunit TSG101
K18579	6GAL; galactan endo-1,6-beta-galactosidase [EC:3.2.1.164]	6GAL; galactan endo-1,6-beta-galactosidase [EC:3.2.1.164]
K01187	malZ; alpha-glucosidase [EC:3.2.1.20]	malZ; alpha-glucosidase [EC:3.2.1.20]
K07964	HPSE; heparanase [EC:3.2.1.166]	HPSE; heparanase [EC:3.2.1.166]
K04701	CISH; cytokine inducible SH2-containing protein	CISH; cytokine inducible SH2-containing protein
K17583	NOM1; nucleolar MIF4G domain-containing protein 1	NOM1; nucleolar MIF4G domain-containing protein 1
K02874	RP-L14, MRPL14, rplN; large subunit ribosomal protein L14	RP-L14, MRPL14, rplN; large subunit ribosomal protein L14
K06911	K06911; uncharacterized protein	K06911; uncharacterized protein
K16819	AMOT; angiomotin	AMOT; angiomotin
K00102	dld, LDHD; D-lactate dehydrogenase (cytochrome) [EC:1.1.2.4]	dld, LDHD; D-lactate dehydrogenase (cytochrome) [EC:1.1.2.4]
K18635	SPR1; protein SPIRAL1 and related proteins	SPR1; protein SPIRAL1 and related proteins
K02836	prfB; peptide chain release factor 2	prfB; peptide chain release factor 2
K14834	NOC3; nucleolar complex protein 3	NOC3; nucleolar complex protein 3
K12663	ECH1; Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase [EC:5.3.3.-]	ECH1; Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase [EC:5.3.3.-]
K10862	TDP1; tyrosyl-DNA phosphodiesterase 1 [EC:3.1.4.-]	TDP1; tyrosyl-DNA phosphodiesterase 1 [EC:3.1.4.-]
K01710	E4.2.1.46, rfbB, rffG; dTDP-glucose 4,6-dehydratase [EC:4.2.1.46]	E4.2.1.46, rfbB, rffG; dTDP-glucose 4,6-dehydratase [EC:4.2.1.46]
K14190	VTC2_5; GDP-L-galactose phosphorylase [EC:2.7.7.69]	VTC2_5; GDP-L-galactose phosphorylase [EC:2.7.7.69]
K01106	E3.1.3.56; inositol-1,4,5-trisphosphate 5-phosphatase [EC:3.1.3.56]	E3.1.3.56; inositol-1,4,5-trisphosphate 5-phosphatase [EC:3.1.3.56]
K08872	RIOK3, SUDD; RIO kinase 3 [EC:2.7.11.1]	RIOK3, SUDD; RIO kinase 3 [EC:2.7.11.1]
K13303	SGK2; serum/glucocorticoid-regulated kinase 2 [EC:2.7.11.1]	SGK2; serum/glucocorticoid-regulated kinase 2 [EC:2.7.11.1]
K09680	coaW; type II pantothenate kinase [EC:2.7.1.33]	coaW; type II pantothenate kinase [EC:2.7.1.33]
K01303	APEH; acylaminoacyl-peptidase [EC:3.4.19.1]	APEH; acylaminoacyl-peptidase [EC:3.4.19.1]
K02897	RP-L25, rplY; large subunit ribosomal protein L25	RP-L25, rplY; large subunit ribosomal protein L25
K00787	FDPS; farnesyl diphosphate synthase [EC:2.5.1.1 2.5.1.10]	FDPS; farnesyl diphosphate synthase [EC:2.5.1.1 2.5.1.10]
K07568	queA; S-adenosylmethionine:tRNA ribosyltransferase-isomerase [EC:2.4.99.17]	queA; S-adenosylmethionine:tRNA ribosyltransferase-isomerase [EC:2.4.99.17]
K11141	ENPEP, CD249; glutamyl aminopeptidase [EC:3.4.11.7]	ENPEP, CD249; glutamyl aminopeptidase [EC:3.4.11.7]
K03236	EIF1A; translation initiation factor 1A	EIF1A; translation initiation factor 1A
K13171	SRRM1, SRM160; serine/arginine repetitive matrix protein 1	SRRM1, SRM160; serine/arginine repetitive matrix protein 1
K09422	MYBP; myb proto-oncogene protein, plant	MYBP; myb proto-oncogene protein, plant
K05523	hchA; molecular chaperone Hsp31 and glyoxalase 3 [EC:4.2.1.130]	hchA; molecular chaperone Hsp31 and glyoxalase 3 [EC:4.2.1.130]
K13139	INTS2; integrator complex subunit 2	INTS2; integrator complex subunit 2
K03110	ftsY; fused signal recognition particle receptor	ftsY; fused signal recognition particle receptor
K19919	CRISP; cysteine-rich secretory protein	CRISP; cysteine-rich secretory protein
K06069	PRKCI; atypical protein kinase C iota type [EC:2.7.11.13]	PRKCI; atypical protein kinase C iota type [EC:2.7.11.13]
K01057	PGLS, pgl, devB; 6-phosphogluconolactonase [EC:3.1.1.31]	PGLS, pgl, devB; 6-phosphogluconolactonase [EC:3.1.1.31]
K04978	TRPM3; transient receptor potential cation channel subfamily M member 3	TRPM3; transient receptor potential cation channel subfamily M member 3
K03264	EIF6; translation initiation factor 6	EIF6; translation initiation factor 6
K01657	trpE; anthranilate synthase component I [EC:4.1.3.27]	trpE; anthranilate synthase component I [EC:4.1.3.27]
K04678	SMURF; E3 ubiquitin ligase SMURF1/2 [EC:2.3.2.26]	SMURF; E3 ubiquitin ligase SMURF1/2 [EC:2.3.2.26]
K18467	VPS29; vacuolar protein sorting-associated protein 29	VPS29; vacuolar protein sorting-associated protein 29
K14310	NUP205, NUP192; nuclear pore complex protein Nup205	NUP205, NUP192; nuclear pore complex protein Nup205
K04961	RYR1; ryanodine receptor 1	RYR1; ryanodine receptor 1
K12606	RCD1, CNOT9, CAF40; CCR4-NOT transcription complex subunit 9	RCD1, CNOT9, CAF40; CCR4-NOT transcription complex subunit 9
K16498	PCDHD1; protocadherin delta 1	PCDHD1; protocadherin delta 1
K02471	yddA; putative ATP-binding cassette transporter	yddA; putative ATP-binding cassette transporter
K11290	SET, TAF1, I2PP2A; template-activating factor I	SET, TAF1, I2PP2A; template-activating factor I
K17593	ANKRD42, SARP; ankyrin repeat domain-containing protein 42	ANKRD42, SARP; ankyrin repeat domain-containing protein 42
K12383	GM2A; ganglioside GM2 activator	GM2A; ganglioside GM2 activator
K01965	PCCA, pccA; propionyl-CoA carboxylase alpha chain [EC:6.4.1.3]	PCCA, pccA; propionyl-CoA carboxylase alpha chain [EC:6.4.1.3]
K08901	psbQ; photosystem II oxygen-evolving enhancer protein 3	psbQ; photosystem II oxygen-evolving enhancer protein 3
K00019	E1.1.1.30, bdh; 3-hydroxybutyrate dehydrogenase [EC:1.1.1.30]	Fatty acid breakdown
K17759	AIBP, nnrE; NAD(P)H-hydrate epimerase [EC:5.1.99.6]	AIBP, nnrE; NAD(P)H-hydrate epimerase [EC:5.1.99.6]
K01638	aceB, glcB; malate synthase [EC:2.3.3.9]	Glyoxylate cycle
K06588	ITGB5; integrin beta 5	ITGB5; integrin beta 5
K02105	CTNNB1; catenin beta 1	CTNNB1; catenin beta 1
K15297	RIMS2, RIM2; regulating synaptic membrane exocytosis protein 2	RIMS2, RIM2; regulating synaptic membrane exocytosis protein 2
K14966	HCFC; host cell factor	HCFC; host cell factor
K00794	ribH, RIB4; 6,7-dimethyl-8-ribityllumazine synthase [EC:2.5.1.78]	ribH, RIB4; 6,7-dimethyl-8-ribityllumazine synthase [EC:2.5.1.78]
K15106	SLC25A14_30; solute carrier family 25 (mitochondrial carrier), member 14/30	SLC25A14_30; solute carrier family 25 (mitochondrial carrier), member 14/30
K03168	topA; DNA topoisomerase I [EC:5.99.1.2]	topA; DNA topoisomerase I [EC:5.99.1.2]
K10354	ACTA1; actin, alpha skeletal muscle	ACTA1; actin, alpha skeletal muscle
K00626	E2.3.1.9, atoB; acetyl-CoA C-acetyltransferase [EC:2.3.1.9]	E2.3.1.9, atoB; acetyl-CoA C-acetyltransferase [EC:2.3.1.9]
K00626	E2.3.1.9, atoB; acetyl-CoA C-acetyltransferase [EC:2.3.1.9]	Fatty acid breakdown
K01491	folD; methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase [EC:1.5.1.5 3.5.4.9]	folD; methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase [EC:1.5.1.5 3.5.4.9]
K17336	PLS3; plastin-3	PLS3; plastin-3
K19970	NT5E, CD73; 5'-nucleotidase [EC:3.1.3.5]	NT5E, CD73; 5'-nucleotidase [EC:3.1.3.5]
K11839	USP8, UBP5; ubiquitin carboxyl-terminal hydrolase 8 [EC:3.4.19.12]	USP8, UBP5; ubiquitin carboxyl-terminal hydrolase 8 [EC:3.4.19.12]
K09048	CREB3; cyclic AMP-responsive element-binding protein 3	CREB3; cyclic AMP-responsive element-binding protein 3
K16740	AHI1; jouberin	AHI1; jouberin
K15112	SLC25A27, UCP4; solute carrier family 25 (mitochondrial uncoupling protein), member 27	SLC25A27, UCP4; solute carrier family 25 (mitochondrial uncoupling protein), member 27
K08810	TRIO; triple functional domain protein [EC:2.7.11.1]	TRIO; triple functional domain protein [EC:2.7.11.1]
K15332	TRMT2A; tRNA (uracil-5-)-methyltransferase [EC:2.1.1.-]	TRMT2A; tRNA (uracil-5-)-methyltransferase [EC:2.1.1.-]
K05755	ARPC4; actin related protein 2/3 complex, subunit 4	ARPC4; actin related protein 2/3 complex, subunit 4
K08917	LHCB6; light-harvesting complex II chlorophyll a/b binding protein 6	LHCB6; light-harvesting complex II chlorophyll a/b binding protein 6
K01941	E6.3.4.6; urea carboxylase [EC:6.3.4.6]	E6.3.4.6; urea carboxylase [EC:6.3.4.6]
K07944	ARL3; ADP-ribosylation factor-like protein 3	ARL3; ADP-ribosylation factor-like protein 3
K05099	MET, HGFR; proto-oncogene tyrosine-protein kinase Met [EC:2.7.10.1]	MET, HGFR; proto-oncogene tyrosine-protein kinase Met [EC:2.7.10.1]
K01341	KEX2; kexin [EC:3.4.21.61]	KEX2; kexin [EC:3.4.21.61]
